cve_id,cwe_id
CVE-2016-15020,CWE-89
CVE-2016-15008,CWE-79
CVE-2016-15014,CWE-522
CVE-2016-15011,CWE-611
CVE-2016-15022,CWE-79
CVE-2016-15028,CWE-354
CVE-2016-15030,CWE-601
CVE-2016-15013,CWE-89
CVE-2016-15033,CWE-434
CVE-2016-15005,CWE-352
CVE-2016-15016,CWE-89
CVE-2016-15037,CWE-79
CVE-2016-15017,CWE-22
CVE-2016-15042,CWE-434
CVE-2016-15027,CWE-79
CVE-2016-15021,CWE-89
CVE-2016-15025,CWE-79
CVE-2016-15018,CWE-89
CVE-2016-15002,CWE-565
CVE-2016-15006,CWE-337
CVE-2016-15035,CWE-79
CVE-2016-15026,CWE-611
CVE-2016-15019,CWE-22
CVE-2016-15015,CWE-203
CVE-2016-15023,CWE-22
CVE-2016-15031,CWE-89
CVE-2016-15029,CWE-79
CVE-2016-15009,CWE-352
CVE-2016-15034,CWE-89
CVE-2016-5800,CWE-121
CVE-2016-10798,CWE-362
CVE-2016-10738,CWE-352
CVE-2016-10754,CWE-89
CVE-2016-10779,CWE-79
CVE-2016-10783,CWE-79
CVE-2016-10706,CWE-79
CVE-2016-10715,CWE-79
CVE-2016-10709,CWE-78
CVE-2016-10735,CWE-79
CVE-2016-10726,CWE-22
CVE-2016-10778,CWE-79
CVE-2016-10731,CWE-89
CVE-2016-10751,CWE-22
CVE-2016-10762,CWE-77
CVE-2016-10708,CWE-476
CVE-2016-10742,CWE-601
CVE-2016-10733,CWE-22
CVE-2016-10782,CWE-79
CVE-2016-10780,CWE-79
CVE-2016-10707,CWE-674
CVE-2016-10784,CWE-79
CVE-2016-10763,CWE-79
CVE-2016-10736,CWE-79
CVE-2016-10773,CWE-134
CVE-2016-10774,CWE-79
CVE-2016-10781,CWE-79
CVE-2016-10756,CWE-352
CVE-2016-10744,CWE-79
CVE-2016-10753,CWE-502
CVE-2016-10776,CWE-79
CVE-2016-10795,CWE-79
CVE-2016-10737,CWE-79
CVE-2016-10716,CWE-79
CVE-2016-10743,CWE-332
CVE-2016-10745,CWE-134
CVE-2016-10769,CWE-601
CVE-2016-10758,CWE-434
CVE-2016-10755,CWE-89
CVE-2016-10750,CWE-502
CVE-2016-10759,CWE-22
CVE-2016-10766,CWE-352
CVE-2016-10767,CWE-79
CVE-2016-10711,CWE-444
CVE-2016-10777,CWE-79
CVE-2016-10752,CWE-434
CVE-2016-10749,CWE-125
CVE-2016-10729,CWE-77
CVE-2016-10705,CWE-79
CVE-2016-10757,CWE-352
CVE-2016-11058,CWE-613
CVE-2016-11062,CWE-732
CVE-2016-11069,CWE-521
CVE-2016-11070,CWE-79
CVE-2016-11012,CWE-79
CVE-2016-11073,CWE-79
CVE-2016-11013,CWE-79
CVE-2016-11064,CWE-94
CVE-2016-11065,CWE-732
CVE-2016-11079,CWE-79
CVE-2016-11080,CWE-732
CVE-2016-11083,CWE-79
CVE-2016-11076,CWE-295
CVE-2016-11086,CWE-295
CVE-2016-11020,CWE-434
CVE-2016-11018,CWE-89
CVE-2016-11082,CWE-79
CVE-2016-11000,CWE-89
CVE-2016-11023,CWE-89
CVE-2016-11084,CWE-352
CVE-2016-11001,CWE-79
CVE-2016-11024,CWE-89
CVE-2016-11005,CWE-79
CVE-2016-11077,CWE-732
CVE-2016-11085,CWE-79
CVE-2016-11017,CWE-78
CVE-2016-11071,CWE-79
CVE-2016-11063,CWE-79
CVE-2016-7550,CWE-476
CVE-2016-7523,CWE-125
CVE-2016-7524,CWE-125
CVE-2016-0898,CWE-532
CVE-2016-9483,CWE-502
CVE-2016-9482,CWE-302
CVE-2016-9488,CWE-89
CVE-2016-9487,CWE-611
CVE-2016-9486,CWE-379
CVE-2016-9491,CWE-611
CVE-2016-9485,CWE-378
CVE-2016-9498,CWE-502
CVE-2016-9493,CWE-79
CVE-2016-9499,CWE-204
CVE-2016-9490,CWE-79
CVE-2016-9484,CWE-22
CVE-2016-9492,CWE-434
CVE-2016-9969,CWE-415
CVE-2016-9903,CWE-79
CVE-2016-9902,CWE-346
CVE-2016-6272,CWE-91
CVE-2016-8365,CWE-437
CVE-2016-8390,CWE-787
CVE-2016-1000236,CWE-362
CVE-2016-1000282,CWE-77
CVE-2016-1000229,CWE-79
CVE-2016-1000237,CWE-79
CVE-2016-1000271,CWE-89
CVE-2016-9271,CWE-79
CVE-2016-10892,CWE-79
CVE-2016-10887,CWE-89
CVE-2016-10876,CWE-352
CVE-2016-10854,CWE-79
CVE-2016-10851,CWE-79
CVE-2016-10869,CWE-79
CVE-2016-10885,CWE-352
CVE-2016-10806,CWE-79
CVE-2016-10881,CWE-79
CVE-2016-10868,CWE-79
CVE-2016-10853,CWE-79
CVE-2016-10898,CWE-79
CVE-2016-10813,CWE-79
CVE-2016-10834,CWE-358
CVE-2016-10819,CWE-532
CVE-2016-10866,CWE-79
CVE-2016-10873,CWE-79
CVE-2016-10875,CWE-79
CVE-2016-10897,CWE-79
CVE-2016-10880,CWE-79
CVE-2016-10822,CWE-79
CVE-2016-10843,CWE-77
CVE-2016-10828,CWE-22
CVE-2016-10879,CWE-79
CVE-2016-10893,CWE-79
CVE-2016-10884,CWE-352
CVE-2016-10839,CWE-89
CVE-2016-10895,CWE-79
CVE-2016-10837,CWE-426
CVE-2016-10883,CWE-352
CVE-2016-10827,CWE-79
CVE-2016-10871,CWE-79
CVE-2016-10867,CWE-79
CVE-2016-10825,CWE-358
CVE-2016-10889,CWE-89
CVE-2016-10817,CWE-89
CVE-2016-10849,CWE-77
CVE-2016-10872,CWE-79
CVE-2016-10874,CWE-352
CVE-2016-10896,CWE-79
CVE-2016-10877,CWE-79
CVE-2016-10888,CWE-89
CVE-2016-10865,CWE-352
CVE-2016-10803,CWE-93
CVE-2016-10891,CWE-79
CVE-2016-10890,CWE-79
CVE-2016-10829,CWE-552
CVE-2016-10878,CWE-79
CVE-2016-10870,CWE-79
CVE-2016-10882,CWE-352
CVE-2016-1000029,CWE-79
CVE-2016-1000027,CWE-502
CVE-2016-1000005,CWE-843
CVE-2016-1000030,CWE-295
CVE-2016-1000028,CWE-79
CVE-2016-1000037,CWE-79
CVE-2016-1000006,CWE-416
CVE-2016-5235,CWE-79
CVE-2016-5287,CWE-416
CVE-2016-5285,CWE-476
CVE-2016-5297,CWE-190
CVE-2016-5236,CWE-79
CVE-2016-5311,CWE-427
CVE-2016-5397,CWE-77
CVE-2016-5314,CWE-787
CVE-2016-9898,CWE-416
CVE-2016-9896,CWE-416
CVE-2016-9899,CWE-416
CVE-2016-10403,CWE-125
CVE-2016-2338,CWE-787
CVE-2016-10258,CWE-434
CVE-2016-10257,CWE-79
CVE-2016-10256,CWE-79
CVE-2016-10245,CWE-79
CVE-2016-2120,CWE-190
CVE-2016-2139,CWE-79
CVE-2016-2121,CWE-732
CVE-2016-2138,CWE-79
CVE-2016-2123,CWE-122
CVE-2016-8511,CWE-502
CVE-2016-8532,CWE-79
CVE-2016-8527,CWE-79
CVE-2016-8513,CWE-352
CVE-2016-8522,CWE-79
CVE-2016-8517,CWE-79
CVE-2016-8515,CWE-434
CVE-2016-8523,CWE-77
CVE-2016-8519,CWE-502
CVE-2016-8526,CWE-611
CVE-2016-9500,CWE-79
CVE-2016-9591,CWE-416
CVE-2016-9569,CWE-125
CVE-2016-9570,CWE-125
CVE-2016-9585,CWE-502
CVE-2016-9598,CWE-125
CVE-2016-9572,CWE-476
CVE-2016-9592,CWE-460
CVE-2016-9578,CWE-770
CVE-2016-9586,CWE-122
CVE-2016-9580,CWE-122
CVE-2016-9593,CWE-522
CVE-2016-9575,CWE-863
CVE-2016-9583,CWE-125
CVE-2016-9574,CWE-325
CVE-2016-9595,CWE-59
CVE-2016-9581,CWE-122
CVE-2016-9597,CWE-674
CVE-2016-9573,CWE-125
CVE-2016-9577,CWE-122
CVE-2016-20013,CWE-770
CVE-2016-20002,CWE-863
CVE-2016-20004,CWE-863
CVE-2016-20018,CWE-89
CVE-2016-20001,CWE-863
CVE-2016-20021,CWE-347
CVE-2016-20005,CWE-863
CVE-2016-20011,CWE-295
CVE-2016-20007,CWE-613
CVE-2016-4983,CWE-732
CVE-2016-4975,CWE-93
CVE-2016-4991,CWE-77
CVE-2016-1000107,CWE-601
CVE-2016-1000110,CWE-601
CVE-2016-1000111,CWE-425
CVE-2016-1000108,CWE-601
CVE-2016-4398,CWE-502
CVE-2016-4391,CWE-94
CVE-2016-4399,CWE-79
CVE-2016-4397,CWE-94
CVE-2016-4392,CWE-79
CVE-2016-5402,CWE-94
CVE-2016-5431,CWE-327
CVE-2016-0750,CWE-502
CVE-2016-4401,CWE-522
CVE-2016-4400,CWE-79
CVE-2016-4405,CWE-502
CVE-2016-7151,CWE-125
CVE-2016-0324,CWE-77
CVE-2016-0329,CWE-601
CVE-2016-0344,CWE-79
CVE-2016-0335,CWE-352
CVE-2016-0311,CWE-79
CVE-2016-0336,CWE-79
CVE-2016-0369,CWE-611
CVE-2016-0303,CWE-79
CVE-2016-0348,CWE-352
CVE-2016-1000338,CWE-347
CVE-2016-1000342,CWE-347
CVE-2016-4572,CWE-863
CVE-2016-2922,CWE-295
CVE-2016-0219,CWE-611
CVE-2016-0250,CWE-611
CVE-2016-0291,CWE-78
CVE-2016-0268,CWE-611
CVE-2016-0253,CWE-79
CVE-2016-0261,CWE-79
CVE-2016-0223,CWE-79
CVE-2016-0234,CWE-613
CVE-2016-0272,CWE-352
CVE-2016-0235,CWE-798
CVE-2016-0295,CWE-352
CVE-2016-7075,CWE-295
CVE-2016-7064,CWE-347
CVE-2016-7076,CWE-77
CVE-2016-7056,CWE-385
CVE-2016-7066,CWE-266
CVE-2016-7067,CWE-352
CVE-2016-7063,CWE-22
CVE-2016-7070,CWE-266
CVE-2016-7043,CWE-260
CVE-2016-7041,CWE-22
CVE-2016-8730,CWE-787
CVE-2016-8750,CWE-90
CVE-2016-8728,CWE-787
CVE-2016-6168,CWE-416
CVE-2016-9600,CWE-476
CVE-2016-9605,CWE-79
CVE-2016-9651,CWE-94
CVE-2016-9602,CWE-59
CVE-2016-9603,CWE-122
CVE-2016-9601,CWE-190
CVE-2016-6545,CWE-613
CVE-2016-6591,CWE-863
CVE-2016-6593,CWE-426
CVE-2016-6566,CWE-89
CVE-2016-6592,CWE-427
CVE-2016-6588,CWE-79
CVE-2016-6556,CWE-79
CVE-2016-6543,CWE-799
CVE-2016-6547,CWE-313
CVE-2016-6562,CWE-295
CVE-2016-6565,CWE-98
CVE-2016-6546,CWE-313
CVE-2016-6549,CWE-306
CVE-2016-6544,CWE-306
CVE-2016-6567,CWE-494
CVE-2016-6578,CWE-352
CVE-2016-6555,CWE-79
CVE-2016-6343,CWE-79
CVE-2016-6328,CWE-190
CVE-2016-6353,CWE-863
CVE-2016-5710,CWE-1021
CVE-2016-6810,CWE-79
CVE-2016-6814,CWE-502
CVE-2016-3192,CWE-312
CVE-2016-3131,CWE-863
CVE-2016-1487,CWE-502
CVE-2016-3098,CWE-352
CVE-2016-6918,CWE-434
CVE-2016-8897,CWE-89
CVE-2016-8898,CWE-89
CVE-2016-3953,CWE-798
CVE-2016-3957,CWE-502
CVE-2016-7443,CWE-434
CVE-2016-10537,CWE-79
CVE-2016-10536,CWE-295
CVE-2016-10548,CWE-79
CVE-2016-10561,CWE-22
CVE-2016-10522,CWE-352
CVE-2016-10526,CWE-532
CVE-2016-10535,CWE-208
CVE-2016-10553,CWE-89
CVE-2016-10534,CWE-295
CVE-2016-10528,CWE-22
CVE-2016-10519,CWE-201
CVE-2016-10518,CWE-201
CVE-2016-10550,CWE-89
CVE-2016-10556,CWE-89
CVE-2016-10551,CWE-89
CVE-2016-10541,CWE-94
CVE-2016-10554,CWE-89
CVE-2016-10529,CWE-352
CVE-2016-10531,CWE-79
CVE-2016-10538,CWE-362
CVE-2016-10547,CWE-79
CVE-2016-10546,CWE-94
CVE-2016-10549,CWE-79
CVE-2016-3709,CWE-79
CVE-2016-3735,CWE-335
CVE-2016-8614,CWE-358
CVE-2016-8640,CWE-89
CVE-2016-8619,CWE-415
CVE-2016-8609,CWE-384
CVE-2016-8615,CWE-99
CVE-2016-8654,CWE-122
CVE-2016-8617,CWE-787
CVE-2016-8608,CWE-79
CVE-2016-8628,CWE-77
CVE-2016-8618,CWE-415
CVE-2016-8620,CWE-125
CVE-2016-8641,CWE-59
CVE-2016-8622,CWE-787
CVE-2016-8648,CWE-502
CVE-2016-8626,CWE-476
CVE-2016-8635,CWE-358
CVE-2016-8637,CWE-732
CVE-2016-8621,CWE-125
CVE-2016-8623,CWE-416
CVE-2016-8613,CWE-79
CVE-2016-8634,CWE-79
CVE-2016-8653,CWE-502
CVE-2016-8639,CWE-79
CVE-2010-5304,CWE-476
CVE-2010-5339,CWE-79
CVE-2010-5334,CWE-22
CVE-2010-5336,CWE-79
CVE-2010-5333,CWE-120
CVE-2010-5335,CWE-22
CVE-2010-5338,CWE-79
CVE-2010-5340,CWE-79
CVE-2010-5337,CWE-79
CVE-2010-2548,CWE-863
CVE-2010-3440,CWE-494
CVE-2010-3438,CWE-134
CVE-2010-5108,CWE-276
CVE-2010-1435,CWE-863
CVE-2010-1433,CWE-434
CVE-2010-1434,CWE-384
CVE-2010-0737,CWE-732
CVE-2010-4178,CWE-522
CVE-2010-4177,CWE-319
CVE-2010-2250,CWE-79
CVE-2010-2222,CWE-476
CVE-2010-2247,CWE-1188
CVE-2010-3782,CWE-863
CVE-2010-10001,CWE-404
CVE-2010-10009,CWE-89
CVE-2010-10010,CWE-79
CVE-2010-10011,CWE-22
CVE-2010-10004,CWE-79
CVE-2010-10003,CWE-89
CVE-2010-10006,CWE-208
CVE-2010-4241,CWE-352
CVE-2010-4237,CWE-295
CVE-2010-4266,CWE-601
CVE-2010-4240,CWE-79
CVE-2010-4245,CWE-79
CVE-2010-4264,CWE-79
CVE-2010-4532,CWE-295
CVE-2010-4533,CWE-295
CVE-2010-3305,CWE-352
CVE-2010-3300,CWE-649
CVE-2010-3661,CWE-601
CVE-2010-3669,CWE-79
CVE-2010-3665,CWE-79
CVE-2010-3660,CWE-79
CVE-2010-3662,CWE-89
CVE-2010-3674,CWE-79
CVE-2010-3672,CWE-79
CVE-2010-3670,CWE-326
CVE-2010-3671,CWE-384
CVE-2010-3663,CWE-434
CVE-2010-2450,CWE-916
CVE-2010-2472,CWE-79
CVE-2010-2471,CWE-601
CVE-2010-2488,CWE-476
CVE-2010-1673,CWE-79
CVE-2010-4817,CWE-59
CVE-2010-3282,CWE-312
CVE-2010-3843,CWE-787
CVE-2010-3857,CWE-79
CVE-2010-3844,CWE-120
CVE-2010-2064,CWE-59
CVE-2010-3095,CWE-59
CVE-2010-3048,CWE-476
CVE-2010-0398,CWE-59
CVE-2010-4661,CWE-434
CVE-2010-4653,CWE-190
CVE-2010-4659,CWE-79
CVE-2010-4662,CWE-79
CVE-2010-4657,CWE-772
CVE-2007-0899,CWE-787
CVE-2007-5967,CWE-295
CVE-2007-0158,CWE-787
CVE-2007-5743,CWE-732
CVE-2007-10001,CWE-89
CVE-2007-10002,CWE-89
CVE-2007-10003,CWE-89
CVE-2007-6758,CWE-918
CVE-2007-4773,CWE-415
CVE-2003-5003,CWE-79
CVE-2003-5002,CWE-319
CVE-2021-35197,CWE-863
CVE-2021-35198,CWE-79
CVE-2021-35193,CWE-295
CVE-2021-35199,CWE-79
CVE-2021-35196,CWE-502
CVE-2021-34422,CWE-22
CVE-2021-34409,CWE-732
CVE-2021-34415,CWE-770
CVE-2021-34428,CWE-613
CVE-2021-34430,CWE-326
CVE-2021-34433,CWE-347
CVE-2021-34408,CWE-59
CVE-2021-34434,CWE-863
CVE-2021-34413,CWE-367
CVE-2021-34424,CWE-125
CVE-2021-34473,CWE-918
CVE-2021-34421,CWE-459
CVE-2021-34435,CWE-346
CVE-2021-34420,CWE-347
CVE-2021-34436,CWE-22
CVE-2021-34427,CWE-434
CVE-2021-34423,CWE-120
CVE-2021-34431,CWE-401
CVE-2021-34410,CWE-732
CVE-2021-34418,CWE-476
CVE-2021-23052,CWE-601
CVE-2021-23029,CWE-918
CVE-2021-23031,CWE-78
CVE-2021-23001,CWE-434
CVE-2021-23015,CWE-863
CVE-2021-23019,CWE-522
CVE-2021-23014,CWE-862
CVE-2021-23026,CWE-352
CVE-2021-23023,CWE-427
CVE-2021-23027,CWE-79
CVE-2021-23054,CWE-79
CVE-2021-23038,CWE-79
CVE-2021-23021,CWE-732
CVE-2021-23006,CWE-79
CVE-2021-23041,CWE-79
CVE-2021-23046,CWE-532
CVE-2021-23043,CWE-22
CVE-2021-23040,CWE-89
CVE-2021-23053,CWE-770
CVE-2021-23012,CWE-78
CVE-2021-23017,CWE-193
CVE-2021-23022,CWE-732
CVE-2021-23025,CWE-78
CVE-2021-23018,CWE-319
CVE-2021-23009,CWE-835
CVE-2021-23037,CWE-79
CVE-2021-1300,CWE-120
CVE-2021-1362,CWE-94
CVE-2021-1311,CWE-307
CVE-2021-1399,CWE-302
CVE-2021-1380,CWE-79
CVE-2021-1310,CWE-601
CVE-2021-1369,CWE-611
CVE-2021-1397,CWE-601
CVE-2021-1366,CWE-427
CVE-2021-1357,CWE-22
CVE-2021-1351,CWE-79
CVE-2021-1393,CWE-306
CVE-2021-1358,CWE-601
CVE-2021-1303,CWE-266
CVE-2021-1355,CWE-89
CVE-2021-1306,CWE-73
CVE-2021-1350,CWE-770
CVE-2021-1353,CWE-401
CVE-2021-1396,CWE-306
CVE-2021-1386,CWE-427
CVE-2021-1354,CWE-295
CVE-2021-1365,CWE-89
CVE-2021-1372,CWE-202
CVE-2021-1363,CWE-89
CVE-2021-1364,CWE-89
CVE-2021-1305,CWE-863
CVE-2021-46681,CWE-79
CVE-2021-46633,CWE-416
CVE-2021-46650,CWE-125
CVE-2021-46699,CWE-787
CVE-2021-46678,CWE-79
CVE-2021-46611,CWE-125
CVE-2021-46649,CWE-125
CVE-2021-46652,CWE-787
CVE-2021-46623,CWE-125
CVE-2021-46618,CWE-125
CVE-2021-46638,CWE-121
CVE-2021-46615,CWE-125
CVE-2021-46671,CWE-125
CVE-2021-46613,CWE-416
CVE-2021-46660,CWE-611
CVE-2021-46656,CWE-787
CVE-2021-46653,CWE-122
CVE-2021-46622,CWE-125
CVE-2021-46617,CWE-457
CVE-2021-46648,CWE-122
CVE-2021-46643,CWE-121
CVE-2021-46646,CWE-787
CVE-2021-46621,CWE-415
CVE-2021-46601,CWE-416
CVE-2021-46603,CWE-122
CVE-2021-46637,CWE-125
CVE-2021-46609,CWE-416
CVE-2021-46607,CWE-125
CVE-2021-46620,CWE-125
CVE-2021-46664,CWE-476
CVE-2021-46677,CWE-79
CVE-2021-46635,CWE-787
CVE-2021-46645,CWE-787
CVE-2021-46667,CWE-190
CVE-2021-46604,CWE-787
CVE-2021-46616,CWE-125
CVE-2021-46624,CWE-125
CVE-2021-46647,CWE-787
CVE-2021-46619,CWE-125
CVE-2021-46644,CWE-787
CVE-2021-46630,CWE-125
CVE-2021-46655,CWE-416
CVE-2021-46632,CWE-125
CVE-2021-46628,CWE-125
CVE-2021-46600,CWE-125
CVE-2021-46625,CWE-415
CVE-2021-46627,CWE-416
CVE-2021-46606,CWE-122
CVE-2021-46610,CWE-125
CVE-2021-46629,CWE-125
CVE-2021-46614,CWE-125
CVE-2021-46605,CWE-122
CVE-2021-46687,CWE-359
CVE-2021-46676,CWE-79
CVE-2021-46641,CWE-125
CVE-2021-46651,CWE-125
CVE-2021-46631,CWE-457
CVE-2021-46634,CWE-787
CVE-2021-46654,CWE-125
CVE-2021-46626,CWE-125
CVE-2021-46612,CWE-125
CVE-2021-46640,CWE-787
CVE-2021-46669,CWE-416
CVE-2021-46636,CWE-125
CVE-2021-46666,CWE-617
CVE-2021-46679,CWE-79
CVE-2021-46642,CWE-125
CVE-2021-46639,CWE-787
CVE-2021-46680,CWE-79
CVE-2021-46602,CWE-125
CVE-2021-46608,CWE-125
CVE-2021-1147,CWE-78
CVE-2021-1198,CWE-787
CVE-2021-1119,CWE-415
CVE-2021-1143,CWE-862
CVE-2021-1149,CWE-78
CVE-2021-1129,CWE-201
CVE-2021-1126,CWE-522
CVE-2021-1115,CWE-476
CVE-2021-1171,CWE-787
CVE-2021-1121,CWE-770
CVE-2021-1159,CWE-787
CVE-2021-1199,CWE-787
CVE-2021-1138,CWE-78
CVE-2021-1117,CWE-129
CVE-2021-1154,CWE-79
CVE-2021-1193,CWE-787
CVE-2021-1123,CWE-667
CVE-2021-1118,CWE-250
CVE-2021-1150,CWE-78
CVE-2021-1103,CWE-476
CVE-2021-1165,CWE-787
CVE-2021-1170,CWE-787
CVE-2021-1169,CWE-787
CVE-2021-1140,CWE-78
CVE-2021-1172,CWE-787
CVE-2021-1164,CWE-787
CVE-2021-1160,CWE-787
CVE-2021-1197,CWE-787
CVE-2021-1177,CWE-787
CVE-2021-1189,CWE-787
CVE-2021-1176,CWE-787
CVE-2021-1186,CWE-787
CVE-2021-1184,CWE-787
CVE-2021-1134,CWE-295
CVE-2021-1178,CWE-787
CVE-2021-1173,CWE-787
CVE-2021-1142,CWE-78
CVE-2021-1151,CWE-79
CVE-2021-1163,CWE-787
CVE-2021-1155,CWE-79
CVE-2021-1192,CWE-787
CVE-2021-1188,CWE-787
CVE-2021-1133,CWE-184
CVE-2021-1141,CWE-78
CVE-2021-1148,CWE-78
CVE-2021-1175,CWE-787
CVE-2021-1158,CWE-79
CVE-2021-1195,CWE-787
CVE-2021-1167,CWE-787
CVE-2021-1130,CWE-79
CVE-2021-1161,CWE-787
CVE-2021-1194,CWE-787
CVE-2021-1153,CWE-79
CVE-2021-1166,CWE-787
CVE-2021-1162,CWE-787
CVE-2021-1185,CWE-787
CVE-2021-1146,CWE-78
CVE-2021-1139,CWE-78
CVE-2021-1122,CWE-476
CVE-2021-1157,CWE-79
CVE-2021-1168,CWE-787
CVE-2021-1116,CWE-476
CVE-2021-1156,CWE-79
CVE-2021-1135,CWE-184
CVE-2021-1144,CWE-863
CVE-2021-1104,CWE-908
CVE-2021-1196,CWE-787
CVE-2021-1101,CWE-476
CVE-2021-1187,CWE-787
CVE-2021-1174,CWE-787
CVE-2021-1152,CWE-79
CVE-2021-1127,CWE-79
CVE-2021-3040,CWE-502
CVE-2021-3026,CWE-79
CVE-2021-3025,CWE-89
CVE-2021-3029,CWE-78
CVE-2021-3039,CWE-532
CVE-2021-3018,CWE-89
CVE-2021-3051,CWE-347
CVE-2021-3002,CWE-79
CVE-2021-3003,CWE-319
CVE-2021-3034,CWE-532
CVE-2021-3043,CWE-79
CVE-2021-3012,CWE-79
CVE-2021-3057,CWE-787
CVE-2021-3060,CWE-78
CVE-2021-3061,CWE-78
CVE-2021-3007,CWE-502
CVE-2021-3010,CWE-79
CVE-2021-3033,CWE-347
CVE-2021-3035,CWE-502
CVE-2021-3019,CWE-22
CVE-2021-3021,CWE-89
CVE-2021-42577,CWE-476
CVE-2021-42523,CWE-401
CVE-2021-42567,CWE-79
CVE-2021-42537,CWE-611
CVE-2021-42559,CWE-77
CVE-2021-42543,CWE-242
CVE-2021-42564,CWE-601
CVE-2021-42583,CWE-327
CVE-2021-42522,CWE-401
CVE-2021-42586,CWE-787
CVE-2021-42528,CWE-476
CVE-2021-42574,CWE-94
CVE-2021-42533,CWE-415
CVE-2021-42529,CWE-121
CVE-2021-42554,CWE-787
CVE-2021-42530,CWE-121
CVE-2021-42584,CWE-79
CVE-2021-42565,CWE-79
CVE-2021-42581,CWE-1321
CVE-2021-42531,CWE-121
CVE-2021-42548,CWE-79
CVE-2021-42532,CWE-121
CVE-2021-42585,CWE-787
CVE-2021-42558,CWE-79
CVE-2021-42549,CWE-79
CVE-2021-42553,CWE-120
CVE-2021-42552,CWE-79
CVE-2021-42560,CWE-611
CVE-2021-42550,CWE-502
CVE-2021-42544,CWE-307
CVE-2021-42597,CWE-79
CVE-2021-42566,CWE-79
CVE-2021-42580,CWE-89
CVE-2021-42547,CWE-79
CVE-2021-42535,CWE-79
CVE-2021-42546,CWE-79
CVE-2021-42545,CWE-613
CVE-2021-42556,CWE-22
CVE-2021-42521,CWE-476
CVE-2021-42551,CWE-79
CVE-2021-37330,CWE-79
CVE-2021-37391,CWE-79
CVE-2021-37346,CWE-78
CVE-2021-37306,CWE-732
