,cve_id,cwe_id,vendor,product,package_type,software_type,language
60,CVE-2016-15021,CWE-89,columbia,als_data_browser,github,utility,JavaScript
61,CVE-2016-15025,CWE-79,generator-hottowel_project,generator-hottowel,github,library,JavaScript
62,CVE-2016-15015,CWE-203,paysafe,barzahlen_payment_module_php_sdk,github,library,PHP
63,CVE-2016-15023,CWE-22,sitefusion,application_server,github,server,PHP
64,CVE-2016-10738,CWE-352,castlamp,zenbership,github,web_app,PHP
65,CVE-2016-10754,CWE-89,vtiger,vtiger_crm,github,web_app,PHP
66,CVE-2016-10709,CWE-78,pfsense,pfsense,github,server,PHP
67,CVE-2016-10735,CWE-79,getbootstrap,bootstrap,github,framework,MDX
68,CVE-2016-10726,CWE-22,duraspace,dspace,github,server,Java
69,CVE-2016-10731,CWE-89,projectsend,projectsend,github,web_app,PHP
70,CVE-2016-10762,CWE-77,automattic,camptix_event_ticketing,github,extension,PHP
71,CVE-2016-10708,CWE-476,openbsd,openssh,github,utility,C
72,CVE-2016-10733,CWE-22,projectsend,projectsend,github,web_app,PHP
73,CVE-2016-10707,CWE-674,jquery,jquery,cpan,library,Perl
74,CVE-2016-10763,CWE-79,automattic,camptix_event_ticketing,github,extension,PHP
75,CVE-2016-10756,CWE-352,kliqqi,kliqqi_cms,github,web_app,PHP
76,CVE-2016-10753,CWE-502,e107,e107,github,web_app,PHP
77,CVE-2016-10737,CWE-79,s9y,serendipity,github,web_app,PHP
78,CVE-2016-10745,CWE-134,palletsprojects,jinja,github,framework,Python
79,CVE-2016-10752,CWE-434,s9y,serendipity,github,web_app,PHP
80,CVE-2016-11062,CWE-732,mattermost,mattermost_server,github,server,TypeScript
81,CVE-2016-11069,CWE-521,mattermost,mattermost_server,github,server,TypeScript
82,CVE-2016-11070,CWE-79,mattermost,mattermost_server,github,server,TypeScript
83,CVE-2016-11012,CWE-79,solaplugins,sola_support_tickets,github,extension,PHP
84,CVE-2016-11073,CWE-79,mattermost,mattermost_server,github,server,TypeScript
85,CVE-2016-11013,CWE-79,agentevolution,impress_listings,github,extension,PHP
86,CVE-2016-11065,CWE-732,mattermost,mattermost_server,github,server,TypeScript
87,CVE-2016-11079,CWE-79,mattermost,mattermost_server,github,server,TypeScript
88,CVE-2016-11080,CWE-732,mattermost,mattermost_server,github,server,TypeScript
89,CVE-2016-11083,CWE-79,mattermost,mattermost_server,github,server,TypeScript
90,CVE-2016-11076,CWE-295,mattermost,mattermost_server,github,server,TypeScript
91,CVE-2016-11020,CWE-434,kunena,kunena,github,extension,PHP
92,CVE-2016-11018,CWE-89,huge-it,image_gallery,github,extension,PHP
93,CVE-2016-11082,CWE-79,mattermost,mattermost_server,github,server,TypeScript
94,CVE-2016-11084,CWE-352,mattermost,mattermost_server,github,server,TypeScript
95,CVE-2016-11001,CWE-79,plugin-planet,user_submitted_posts,github,extension,PHP
96,CVE-2016-11077,CWE-732,mattermost,mattermost_server,github,server,TypeScript
97,CVE-2016-11085,CWE-79,expresstech,quiz_and_survey_master,github,extension,PHP
98,CVE-2016-11071,CWE-79,mattermost,mattermost_server,github,server,TypeScript
99,CVE-2016-11063,CWE-79,mattermost,mattermost_server,github,server,TypeScript
100,CVE-2016-7550,CWE-476,digium,asterisk,github,server,C
101,CVE-2016-7523,CWE-125,imagemagick,imagemagick,github,utility,C
102,CVE-2016-7524,CWE-125,imagemagick,imagemagick,github,utility,C
103,CVE-2016-1000282,CWE-77,haraka_project,haraka,github,library,JavaScript
104,CVE-2016-1000229,CWE-79,redhat,jboss_fuse,github,library,Java
105,CVE-2016-1000237,CWE-79,apostrophecms,sanitize-html,github,library,JavaScript
106,CVE-2016-10892,CWE-79,kibokolabs,chained_quiz,github,extension,PHP
107,CVE-2016-10876,CWE-352,wpseeds,wp_database_backup,github,extension,PHP
108,CVE-2016-10869,CWE-79,bestwebsoft,contact_form,github,extension,PHP
109,CVE-2016-10885,CWE-352,benjaminrojas,wp_editor,github,extension,JavaScript
110,CVE-2016-10881,CWE-79,google_doc_embedder_project,google_doc_embedder,github,extension,PHP
111,CVE-2016-10898,CWE-79,fabrix,total_security,github,extension,PHP
112,CVE-2016-10873,CWE-79,wpseeds,wp_database_backup,github,extension,PHP
113,CVE-2016-10875,CWE-79,wpseeds,wp_database_backup,github,extension,PHP
114,CVE-2016-10897,CWE-79,sermon_browser_project,sermon_browser,github,extension,PHP
115,CVE-2016-10880,CWE-79,google_doc_embedder_project,google_doc_embedder,github,extension,PHP
116,CVE-2016-10893,CWE-79,crayon_syntax_highlighter_project,crayon_syntax_highlighter,github,extension,PHP
117,CVE-2016-10884,CWE-352,simple-membership-plugin,simple_membership,github,extension,PHP
118,CVE-2016-10895,CWE-79,optiontree_project,optiontree,github,extension,PHP
119,CVE-2016-10883,CWE-352,mijnpress,simple_add_pages_or_posts,github,extension,PHP
120,CVE-2016-10871,CWE-79,ibericode,mailchimp,github,extension,JavaScript
121,CVE-2016-10872,CWE-79,ultimatemember,ultimate_member,github,extension,PHP
122,CVE-2016-10874,CWE-352,wpseeds,wp_database_backup,github,extension,PHP
123,CVE-2016-10896,CWE-79,clogica,seo_redirection,github,extension,PHP
124,CVE-2016-10877,CWE-79,wp_editor_project,wp_editor,github,extension,JavaScript
125,CVE-2016-10891,CWE-79,pojo,activity_log,github,extension,PHP
126,CVE-2016-10890,CWE-79,pojo,activity_log,github,extension,PHP
127,CVE-2016-10882,CWE-352,google_doc_embedder_project,google_doc_embedder,github,extension,PHP
128,CVE-2016-1000005,CWE-843,facebook,hhvm,github,utility,C++
129,CVE-2016-1000006,CWE-416,facebook,hhvm,github,utility,C++
130,CVE-2016-2338,CWE-787,ruby-lang,ruby,github,framework,Ruby
131,CVE-2016-2121,CWE-732,redhat,openstack,github,library,Python
132,CVE-2016-2123,CWE-122,samba,samba,github,server,C
133,CVE-2016-9591,CWE-416,jasper_project,jasper,github,utility,C
134,CVE-2016-9592,CWE-460,redhat,openshift,github,library,HCL
135,CVE-2016-9575,CWE-863,freeipa,freeipa,github,server,Python
136,CVE-2016-9583,CWE-125,jasper_project,jasper,github,utility,C
137,CVE-2016-9574,CWE-325,mozilla,network_security_services,github,framework,C
138,CVE-2016-20018,CWE-89,knexjs,knex,github,library,JavaScript
139,CVE-2016-20021,CWE-347,gentoo,portage,github,utility,Python
140,CVE-2016-4991,CWE-77,nodepdf_project,nodepdf,github,library,JavaScript
141,CVE-2016-5402,CWE-94,redhat,cloudforms,github,utility,Ruby
142,CVE-2016-5431,CWE-327,php_jose_project,php_jose,github,framework,PHP
143,CVE-2016-0750,CWE-502,infinispan,infinispan,github,framework,Java
144,CVE-2016-1000338,CWE-347,bouncycastle,legion-of-the-bouncy-castle-java-crytography-api,github,framework,C#
145,CVE-2016-4572,CWE-863,cloudera,cdh,github,framework,Groovy
146,CVE-2016-7075,CWE-295,redhat,openshift,github,library,HCL
147,CVE-2016-7064,CWE-347,pritunl,pritunl-client,github,server,Python
148,CVE-2016-7063,CWE-22,pritunl,pritunl-client,github,server,Python
149,CVE-2016-7043,CWE-260,redhat,kie-server,github,server,Java
150,CVE-2016-7041,CWE-22,redhat,jboss_brms,github,server,Java
151,CVE-2016-9600,CWE-476,jasper_project,jasper,github,utility,C
152,CVE-2016-9605,CWE-79,cobbler_project,cobbler,github,server,Python
153,CVE-2016-9602,CWE-59,qemu,qemu,github,utility,C
154,CVE-2016-9603,CWE-122,redhat,openstack,github,library,Python
155,CVE-2016-6556,CWE-79,opennms,opennms,github,server,Java
156,CVE-2016-6555,CWE-79,opennms,opennms,github,server,Java
157,CVE-2016-6343,CWE-79,redhat,jboss_bpm_suite,github,server,Java
158,CVE-2016-6353,CWE-863,cloudera,cdh,github,framework,Groovy
159,CVE-2016-3131,CWE-863,cloudera,cdh,github,framework,Groovy
160,CVE-2016-3098,CWE-352,thoughtbot,administrate,gem,framework,Ruby
161,CVE-2016-8897,CWE-89,exponentcms,exponent_cms,github,web_app,PHP
162,CVE-2016-8898,CWE-89,exponentcms,exponent_cms,github,web_app,PHP
163,CVE-2016-3953,CWE-798,web2py,web2py,github,framework,Python
164,CVE-2016-3957,CWE-502,web2py,web2py,github,framework,Python
165,CVE-2016-7443,CWE-434,exponentcms,exponent_cms,github,web_app,PHP
166,CVE-2016-10548,CWE-79,reduce-css-calc_project,reduce-css-calc,github,library,JavaScript
167,CVE-2016-10561,CWE-22,bitty_project,bitty,github,library,JavaScript
168,CVE-2016-10522,CWE-352,rails_admin_project,rails_admin,gem,utility,Ruby
169,CVE-2016-10526,CWE-532,grunt-gh-pages_project,grunt-gh-pages,github,library,JavaScript
170,CVE-2016-10535,CWE-208,csrf-lite_project,csrf-lite,github,library,JavaScript
171,CVE-2016-10553,CWE-89,sequelizejs,sequelize,github,library,TypeScript
172,CVE-2016-10534,CWE-295,electron-packager_project,electron-packager,github,library,JavaScript
173,CVE-2016-10528,CWE-22,restafary_project,restafary,github,library,JavaScript
174,CVE-2016-10519,CWE-201,webtorrent,bittorrent-dht,github,library,JavaScript
175,CVE-2016-10550,CWE-89,sequelizejs,sequelize,github,library,TypeScript
176,CVE-2016-10556,CWE-89,sequelizejs,sequelize,github,library,TypeScript
177,CVE-2016-10551,CWE-89,balderdash,waterline-sequel,github,library,JavaScript
178,CVE-2016-10554,CWE-89,sequelizejs,sequelize,github,library,TypeScript
179,CVE-2016-10529,CWE-352,droppy_project,droppy,github,library,JavaScript
180,CVE-2016-10538,CWE-362,cli_project,cli,github,library,JavaScript
181,CVE-2016-10547,CWE-79,mozilla,nunjucks,github,framework,JavaScript
182,CVE-2016-10546,CWE-94,pouchdb,pouchdb,github,library,JavaScript
183,CVE-2016-3735,CWE-335,piwigo,piwigo,github,web_app,PHP
184,CVE-2016-8609,CWE-384,redhat,keycloak,github,library,Java
185,CVE-2016-8654,CWE-122,jasper_project,jasper,github,utility,C
186,CVE-2016-8608,CWE-79,redhat,jboss_bpm_suite,github,server,Java
187,CVE-2016-8648,CWE-502,redhat,jboss_fuse,github,library,Java
188,CVE-2016-8635,CWE-358,mozilla,network_security_services,github,framework,C
189,CVE-2016-8653,CWE-502,redhat,jboss_fuse,github,library,Java
190,CVE-2010-5304,CWE-476,libvncserver_project,libvncserver,github,framework,C
191,CVE-2010-3438,CWE-134,libpoe-component-irc-perl_project,libpoe-component-irc-perl,cpan,extension,Perl
192,CVE-2010-2250,CWE-79,drupal,drupal,drupal,web_app,PHP
193,CVE-2010-2222,CWE-476,redhat,directory_server,github,server,C
194,CVE-2010-10004,CWE-79,simplesamlphp,information_cards_module,composer,library,PHP
195,CVE-2010-4266,CWE-601,vanillaforums,vanilla_forums,github,web_app,PHP
196,CVE-2010-4264,CWE-79,vanillaforums,vanilla_forums,github,web_app,PHP
197,CVE-2010-3305,CWE-352,pixelpost,pixelpost,github,web_app,PHP
198,CVE-2010-3300,CWE-649,owasp,enterprise_security_api_for_java,github,library,Java
199,CVE-2010-3661,CWE-601,typo3,typo3,github,web_app,PHP
200,CVE-2010-3669,CWE-79,typo3,typo3,github,web_app,PHP
201,CVE-2010-3665,CWE-79,typo3,typo3,github,web_app,PHP
202,CVE-2010-3660,CWE-79,typo3,typo3,github,web_app,PHP
203,CVE-2010-3662,CWE-89,typo3,typo3,github,web_app,PHP
204,CVE-2010-3674,CWE-79,typo3,typo3,github,web_app,PHP
205,CVE-2010-3672,CWE-79,typo3,typo3,github,web_app,PHP
206,CVE-2010-3670,CWE-326,typo3,typo3,github,web_app,PHP
207,CVE-2010-3671,CWE-384,typo3,typo3,github,web_app,PHP
208,CVE-2010-3663,CWE-434,typo3,typo3,github,web_app,PHP
209,CVE-2010-2472,CWE-79,drupal,drupal,drupal,web_app,PHP
210,CVE-2010-2471,CWE-601,drupal,drupal,drupal,web_app,PHP
211,CVE-2010-3282,CWE-312,redhat,directory_server,github,server,C
212,CVE-2010-4659,CWE-79,status,statusnet,github,web_app,PHP
213,CVE-2010-4657,CWE-772,php,php,github,framework,C
214,CVE-2007-0158,CWE-787,acme,thttpd,github,server,C
215,CVE-2007-10003,CWE-89,wp-plugins,the_hackers_diet,github,extension,JavaScript
216,CVE-2021-35197,CWE-863,mediawiki,mediawiki,github,framework,PHP
217,CVE-2021-34422,CWE-22,keybase,keybase,github,mobile_app,Go
218,CVE-2021-34428,CWE-613,eclipse,jetty,eclipse,server,Java
219,CVE-2021-34430,CWE-326,eclipse,tinydtls,github,framework,C
220,CVE-2021-34421,CWE-459,keybase,keybase,github,mobile_app,Go
221,CVE-2021-34427,CWE-434,eclipse,business_intelligence_and_reporting_tools,github,utility,Java
222,CVE-2021-23017,CWE-193,openresty,openresty,github,web_app,C
223,CVE-2021-3002,CWE-79,seopanel,seo_panel,github,utility,PHP
224,CVE-2021-42567,CWE-79,apereo,central_authentication_service,github,server,Java
225,CVE-2021-42559,CWE-77,mitre,caldera,github,utility,Python
226,CVE-2021-42586,CWE-787,gnu,libredwg,github,framework,C
227,CVE-2021-42585,CWE-787,gnu,libredwg,github,framework,C
228,CVE-2021-42558,CWE-79,mitre,caldera,github,utility,Python
229,CVE-2021-42560,CWE-611,mitre,caldera,github,utility,Python
230,CVE-2021-37391,CWE-79,chamilo,chamilo_lms,github,web_app,PHP
231,CVE-2021-37364,CWE-732,openclinic_ga_project,openclinic_ga,github,web_app,Java
232,CVE-2021-37390,CWE-79,chamilo,chamilo_lms,github,web_app,PHP
233,CVE-2021-46507,CWE-674,jsish,jsish,github,framework,C
234,CVE-2021-46561,CWE-863,mitre,cve_services,github,library,JavaScript
235,CVE-2021-46500,CWE-416,jsish,jsish,github,framework,C
236,CVE-2021-46504,CWE-617,jsish,jsish,github,framework,C
237,CVE-2021-46501,CWE-416,jsish,jsish,github,framework,C
238,CVE-2021-46505,CWE-674,jsish,jsish,github,framework,C
239,CVE-2021-46502,CWE-416,jsish,jsish,github,framework,C
240,CVE-2021-46506,CWE-617,jsish,jsish,github,framework,C
241,CVE-2021-46503,CWE-416,jsish,jsish,github,framework,C
242,CVE-2021-46557,CWE-79,vicidial,vicidial,github,server,PHP
243,CVE-2021-22235,CWE-835,wireshark,wireshark,github,utility,C
244,CVE-2021-22222,CWE-835,wireshark,wireshark,github,utility,C
245,CVE-2021-22207,CWE-770,wireshark,wireshark,github,utility,C
246,CVE-2021-22204,CWE-94,exiftool_project,exiftool,cpan,utility,Perl
247,CVE-2021-44094,CWE-434,zrlog,zrlog,github,framework,Java
248,CVE-2021-44082,CWE-79,textpattern,textpattern,github,web_app,PHP
249,CVE-2021-44038,CWE-59,quagga,quagga,github,utility,C
250,CVE-2021-44093,CWE-434,zrlog,zrlog,github,framework,Java
251,CVE-2021-32050,CWE-532,mongodb,php_driver,github,library,PHP
252,CVE-2021-32073,CWE-352,dedecms,dedecms,github,web_app,PHP
253,CVE-2021-30134,CWE-79,shopello_api_project,shopello_api,github,extension,PHP
254,CVE-2021-30155,CWE-862,mediawiki,mediawiki,github,framework,PHP
255,CVE-2021-30108,CWE-918,feehi,feehi_cms,github,web_app,PHP
256,CVE-2021-30154,CWE-79,mediawiki,mediawiki,github,framework,PHP
257,CVE-2021-30157,CWE-79,mediawiki,mediawiki,github,framework,PHP
258,CVE-2021-41041,CWE-252,eclipse,openj9,github,utility,Java
259,CVE-2021-41095,CWE-79,discourse,discourse,github,web_app,Ruby
260,CVE-2021-41091,CWE-732,mobyproject,moby,github,utility,Go
261,CVE-2021-41089,CWE-281,mobyproject,moby,github,utility,Go
262,CVE-2021-41097,CWE-1321,bluespire,aurelia-path,github,library,TypeScript
263,CVE-2021-41082,CWE-863,discourse,discourse,github,web_app,Ruby
264,CVE-2021-41040,CWE-125,eclipse,wakaama,github,framework,C
265,CVE-2021-41034,CWE-924,eclipse,che,github,server,TypeScript
266,CVE-2021-23259,CWE-913,craftercms,crafter_cms,github,web_app,Shell
267,CVE-2021-23267,CWE-913,craftercms,crafter_cms,github,web_app,Shell
268,CVE-2021-23264,CWE-402,craftercms,crafter_cms,github,web_app,Shell
269,CVE-2021-23260,CWE-79,craftercms,crafter_cms,github,web_app,Shell
270,CVE-2021-23263,CWE-402,craftercms,crafter_cms,github,web_app,Shell
271,CVE-2021-23266,CWE-116,craftercms,crafter_cms,github,web_app,Shell
272,CVE-2021-23262,CWE-913,craftercms,crafter_cms,github,web_app,Shell
273,CVE-2021-23227,CWE-352,php_everywhere_project,php_everywhere,github,extension,PHP
274,CVE-2021-23258,CWE-913,craftercms,crafter_cms,github,web_app,Shell
275,CVE-2021-23209,CWE-79,ampforwp,accelerated_mobile_pages,github,extension,PHP
276,CVE-2021-38562,CWE-203,bestpractical,request_tracker,github,web_app,Perl
277,CVE-2021-38554,CWE-212,hashicorp,vault,github,server,Go
278,CVE-2021-38553,CWE-281,hashicorp,vault,github,server,Go
279,CVE-2021-38561,CWE-125,golang,text,github,library,Go
280,CVE-2021-38512,CWE-444,actix,actix-http,github,library,Rust
281,CVE-2021-31412,CWE-1295,vaadin,vaadin,github,framework,Java
282,CVE-2021-31403,CWE-203,vaadin,vaadin,github,framework,Java
283,CVE-2021-31404,CWE-203,vaadin,vaadin,github,framework,Java
284,CVE-2021-31406,CWE-203,vaadin,vaadin,github,framework,Java
285,CVE-2021-31408,CWE-613,vaadin,vaadin,github,framework,Java
286,CVE-2021-31407,CWE-402,vaadin,vaadin,github,framework,Java
287,CVE-2021-21385,CWE-297,mifos,mifos-mobile,github,mobile_app,Kotlin
288,CVE-2021-21355,CWE-434,typo3,typo3,github,web_app,PHP
289,CVE-2021-21351,CWE-434,oracle,mysql_server,github,server,C++
290,CVE-2021-21365,CWE-79,typo3,typo3,github,web_app,PHP
291,CVE-2021-21302,CWE-1236,prestashop,prestashop,composer,web_app,PHP
292,CVE-2021-21357,CWE-22,typo3,typo3,github,web_app,PHP
293,CVE-2021-21353,CWE-94,pugjs,pug-code-gen,github,library,JavaScript
294,CVE-2021-21359,CWE-405,typo3,typo3,github,web_app,PHP
295,CVE-2021-21378,CWE-303,envoyproxy,envoy,github,server,C++
296,CVE-2021-21315,CWE-78,systeminformation,systeminformation,github,library,JavaScript
297,CVE-2021-21348,CWE-502,oracle,mysql_server,github,server,C++
298,CVE-2021-21398,CWE-79,prestashop,prestashop,composer,web_app,PHP
299,CVE-2021-21344,CWE-434,oracle,mysql_server,github,server,C++
300,CVE-2021-21318,CWE-863,apereo,opencast,github,server,Java
301,CVE-2021-21338,CWE-601,typo3,typo3,github,web_app,PHP
302,CVE-2021-21358,CWE-79,typo3,typo3,github,web_app,PHP
303,CVE-2021-21304,CWE-1321,dynamoosejs,dynamoose,github,library,JavaScript
304,CVE-2021-21362,CWE-863,minio,minio,github,server,Go
305,CVE-2021-21368,CWE-1321,msgpack5_project,msgpack5,github,library,JavaScript
306,CVE-2021-21388,CWE-78,systeminformation,systeminformation,github,library,JavaScript
307,CVE-2021-21383,CWE-79,requarks,wiki.js,github,framework,Vue
308,CVE-2021-21390,CWE-924,minio,minio,github,server,Go
309,CVE-2021-21339,CWE-312,typo3,typo3,github,web_app,PHP
310,CVE-2021-21300,CWE-59,git-scm,git,github,utility,C
311,CVE-2021-21370,CWE-79,typo3,typo3,github,web_app,PHP
312,CVE-2021-21340,CWE-79,typo3,typo3,github,web_app,PHP
313,CVE-2021-21310,CWE-290,nextauth.js,next-auth,github,library,TypeScript
314,CVE-2021-21389,CWE-863,buddypress,buddypress,github,extension,PHP
315,CVE-2021-42042,CWE-79,mediawiki,mediawiki,github,framework,PHP
316,CVE-2021-42084,CWE-835,zammad,zammad,github,web_app,Ruby
317,CVE-2021-42081,CWE-78,osnexus,quantastor,github,server,Python
318,CVE-2021-42080,CWE-79,osnexus,quantastor,github,server,Python
319,CVE-2021-42043,CWE-79,mediawiki,mediawiki,github,framework,PHP
320,CVE-2021-42090,CWE-502,zammad,zammad,github,web_app,Ruby
321,CVE-2021-42026,CWE-863,mendix,mendix,github,server,Markdown
322,CVE-2021-42047,CWE-79,mediawiki,mediawiki,github,framework,PHP
323,CVE-2021-42079,CWE-918,osnexus,quantastor,github,server,Python
324,CVE-2021-42025,CWE-863,mendix,mendix,github,server,Markdown
325,CVE-2021-42092,CWE-79,zammad,zammad,github,web_app,Ruby
326,CVE-2021-42053,CWE-79,django-unicorn,unicorn,github,library,Python
327,CVE-2021-42048,CWE-79,mediawiki,mediawiki,github,framework,PHP
328,CVE-2021-42041,CWE-79,mediawiki,mediawiki,github,framework,PHP
329,CVE-2021-42088,CWE-79,zammad,zammad,github,web_app,Ruby
330,CVE-2021-42044,CWE-79,mediawiki,mediawiki,github,framework,PHP
331,CVE-2021-42046,CWE-79,mediawiki,mediawiki,github,framework,PHP
332,CVE-2021-42015,CWE-525,mendix,mendix,github,server,Markdown
333,CVE-2021-42094,CWE-77,zammad,zammad,github,web_app,Ruby
334,CVE-2021-42091,CWE-918,zammad,zammad,github,web_app,Ruby
335,CVE-2021-42085,CWE-79,zammad,zammad,github,web_app,Ruby
336,CVE-2021-42040,CWE-835,mediawiki,mediawiki,github,framework,PHP
337,CVE-2021-42045,CWE-79,mediawiki,mediawiki,github,framework,PHP
338,CVE-2021-20255,CWE-674,qemu,qemu,github,utility,C
339,CVE-2021-20203,CWE-190,qemu,qemu,github,utility,C
340,CVE-2021-20232,CWE-416,gnu,gnutls,github,framework,C
341,CVE-2021-20241,CWE-369,imagemagick,imagemagick,github,utility,C
342,CVE-2021-20245,CWE-369,imagemagick,imagemagick,github,utility,C
343,CVE-2021-20246,CWE-369,imagemagick,imagemagick,github,utility,C
344,CVE-2021-20231,CWE-416,gnu,gnutls,github,framework,C
345,CVE-2021-20243,CWE-369,imagemagick,imagemagick,github,utility,C
346,CVE-2021-20264,CWE-732,oracle,openjdk,github,framework,Java
347,CVE-2021-20254,CWE-125,samba,samba,github,server,C
348,CVE-2021-20291,CWE-667,redhat,openshift_container_platform,github,library,HCL
349,CVE-2021-20263,CWE-281,qemu,qemu,github,utility,C
350,CVE-2021-20218,CWE-22,redhat,jboss_fuse,github,library,Java
351,CVE-2021-20251,CWE-362,samba,samba,github,server,C
352,CVE-2021-20262,CWE-306,redhat,keycloak,github,library,Java
353,CVE-2021-20277,CWE-787,samba,samba,github,server,C
354,CVE-2021-20224,CWE-190,imagemagick,imagemagick,github,utility,C
355,CVE-2021-20202,CWE-377,redhat,keycloak,github,library,Java
356,CVE-2021-20244,CWE-369,imagemagick,imagemagick,github,utility,C
357,CVE-2021-20238,CWE-306,redhat,openshift_container_platform,github,library,HCL
358,CVE-2021-20270,CWE-835,redhat,openshift_container_platform,github,library,HCL
359,CVE-2021-20295,CWE-125,qemu,qemu,github,utility,C
360,CVE-2021-20257,CWE-835,qemu,qemu,github,utility,C
361,CVE-2021-20221,CWE-125,qemu,qemu,github,utility,C
362,CVE-2021-20222,CWE-79,redhat,keycloak,github,library,Java
363,CVE-2021-20240,CWE-191,gnome,gdk-pixbuf,github,framework,C
